functions,key steps,requirement,potential failure mode,potential effect(s) of failure,sev,class,diversity,potential cause(s) of failure,current design - controls prevention,current design occur,current design -controls detection,current design - detection,rpn,recommended action,responsibility &target completion date,action results - action taken&  completion date,action results - sev,action results - occur,action results -detec,action results - rpn,quality gate,remarks,iqf number
panel trim door rh asm,screw cap,completely fix of screw cap,partial fixing,"1.part fall down
2.poor aesthtic",5,,,operator not follow the work instruction,operator training,3,visual inspection,8,120,before instalation part to be checked,manufacturing team (balachandar; anoop kumar) & vrs 1.3,12/6/2021 0:00,5,3,5,75,,,
rh r/v mirror,mirror patch,correct selection of part,wrong selection,"1,variant mismatch.",5,,,identification mark not available,select the right part,3,visual inspection,7,105,identification mark provided in part,design team (varun kumar; sandeep) & vrs1,,5,4,4,80,,,154
rh r/v mirror,mirror patch,completely routing and fixing of joystick cable,partial fixing,"1.part fall down
2.poor aesthtic",5,,,operator not follow the work instruction,operator training,3,visual inspection,7,105,,,,,,,,,,
rh r/v mirror,mirror patch,completely fixing of mirror patch,partial fixing,"1.clip broken
2.part fall down
3.poor aesthtic",5,,,operator not follow the work instruction( ensure the click sound),operator training,3,visual inspection,7,105,,,,,,,,,,
lh r/v mirror,fr & rr winding hanl - l _r,correct selection of part,wrong selection,"1,variant mismatch.",5,,,identification mark not available,no diversity,1,no diversity,1,5,,,,,,,,,,154
lh r/v mirror,fr & rr winding hanl - l _r,completely fixing of winding handle,partial fixing,"1.clip broken
2.part fall down
3.poor aesthtic",5,,,operator not follow the work instruction( ensure the click sound),operator training,3,visual inspection,8,120,before instalation part to be checked,manufacturing team (balachandar; anoop kumar) & vrs 1.3,12/6/2021 0:00,5,3,5,75,,,
vin tag,vin lable,correct selection of part,wrong selection,"1,variant mismatch.",5,,,identification mark not available,no diversity,1,no diversity,1,5,,,,,,,,,,154
vin tag,vin lable,completely fixing of vin plate,partial fixing,"1.clip broken
2.part fall down
3.poor aesthtic",5,,,,,,,,,,,,,,,,,,
vin tag,vin punching machine,condition of vin punching machine,punching issue in machine,improper punching,6,,,"pm activity to be conform, and tpm to be checked",maitenace to follow pm check sheet and update the pm document ,3,visual inspection,5,90,maitenace to follow pm check sheet and update the pm document ,maintenance,,6,3,5,90,cc21/ga/qpc-8018,,
vin tag,fasteners,proper fix of fr door trim fastener,partial fitment ,"1. poor aesthitic ( more gap)
2.part falldown",6,,,"operator choose wrong tool
","1. select the right tool based on the master check sheet
",3,visual inspection,8,144,stick the tool id / calibration details on the tool,monitor,,6,3,5,90,cc21/ga/qpc-8018,,
sub assy center fascia rr bezel in center pin,rr bezel,correct selection of part,not applicable,nil,5,,no,nil,no diversity,1,no diversity,1,5,,,,,,,,,,
sub assy center fascia rr bezel in center pin,rr bezel,completely fixing of rr bezel,partial fixing with rr bezel,"1.part fall down
2.poor aesthtic",5,,,operator not follow the work instruction( ensure the click sound),operator training,3,visual inspection,7,105,,,,,,,,,,
refrigerant,ac gas,vacuum filling of ac gas till specified level,low level filling of ac gas in the tank,"1. poor ac flow
",7,,,equipment error/malfunctioning,equipment callibration,2,visual inspection,8,112,maitenace to follow pm check sheet and update the pm document ,maintenance,,7,2,7,98,cc21/ga/qpc-8018,,
refrigerant,ac gas,,excess filling of ac gas,"1. ac leakage
",7,,,equipment error/malfunctioning,equipment callibration,2,visual inspection,8,112,maitenace to follow pm check sheet and update the pm document ,maintenance,,7,2,7,98,cc21/ga/qpc-8018,,
refrigerant,ac filling m/c  adaptor ,proper adaptor fitment ,loosen fitemnt,1. ac leakage,7,,,equipment error/malfunctioning,firm fitment of adaptor on hp and lp ,3,visual inspection / push pull check,4,84,,,,,,,,,,
refrigerant,ac filling m/c  adaptor ,,adaptor seal,1. ac leakage,7,,,equipment error/malfunctioning,firm fitment of adaptor on hp and lp ,3,test jig,4,84,,,,,,,,,,
refrigerant,ac filling m/c  adaptor ,,condition of machine ,not filling,4,,,"pm activity to be conform, and tpm to be checked",maitenace to follow pm check sheet and update the pm document ,3,visual inspection,5,60,maitenace to follow pm check sheet and update the pm document ,maintenance,,6,3,5,90,cc21/ga/qpc-8018,,
usb multiple plug,fr usb,correct selection of part,machine ,1. variant mismatch.,6,,no,identification mark not available,no diversity,1,no diversity,1,6,,,,,,,,,,
usb multiple plug,fr usb,proper fix of front usb,improper fixing,"1. part damage-snap fit broken
2. rattle noise  appear",4,,,operator not follow the work instruction,operator training,3,visual inspection,8,96,,,,,,,,,,
usb multiple plug,fr usb,proper connection of harness,improper connection,function failure,8,,,operator not follow the work instruction,"1. operator training
2. operator should ensure with click sound.",3,visual inspection,8,192,quality process sheet,industrialization team (suresh/arunkumar) & wk-38,,8,3,4,96,,,
integrated switch module swfc - swic,hazard sw,correct selection of part,wrong selection,1. variant mismatch.,6,,no,identification mark not available,no diversity,1,no diversity,1,6,,,,,,,,,,
integrated switch module swfc - swic,hazard sw,proper fix of hazard switch,improper fixing,"1. part damege-snap fit broken
2. rattle noise  appear",4,,,operator not follow the work instruction,operator training,3,visual inspection,8,96,,,,,,,,,,
integrated switch module swfc - swic,hazard sw,proper connection of harness,improper connection,function failure,8,,,operator not follow the work instruction,"1. operator training
2. operator should ensure with click sound.",3,visual inspection,8,192,quality process sheet,industrialization team (suresh/arunkumar) & wk-38,,8,3,4,96,,,
sos switch,power socket,correct selection of part,wrong selection,1. variant mismatch.,6,,no,identification mark not available,no diversity,1,no diversity,1,6,,,,,,,,,,
sos switch,power socket,proper fix of power socket,improper fixing,"1. part damege-snap fit broken
2. rattle noise  appear",4,,,operator not follow the work instruction,operator training,3,visual inspection,8,96,,,,,,,,,,
sos switch,power socket,proper connection of harness,improper connection,function failure,8,,,operator not follow the work instruction,"1. operator training
2. operator should ensure with click sound.",3,visual inspection,8,192,quality process sheet,industrialization team (suresh/arunkumar) & wk-38,,8,3,4,96,,,
